Word,Rank,Frequency
regard,1029,552
minute,1030,552
self,1031,552
front,1032,552
wished,1033,549
proud,1034,549
sign,1035,549
hate,1036,549
fresh,1037,549
knows,1038,549
nation,1039,548
grew,1040,546
further,1041,546
pure,1042,546
de,1043,546
elders,1044,546
vast,1045,546
married,1046,546
draw,1047,544
smith,1048,543
leaves,1049,543
spring,1050,543
sick,1051,543
bones,1052,540
rock,1053,540
fill,1054,540
commandment,1055,540
didn,1056,540
farther,1057,540
west,1058,539
ephraim,1059,537
covered,1060,537
cattle,1061,537
glass,1062,537
laugh,1063,537
laughing,1064,534
impossible,1065,534
crown,1066,534
lot,1067,534
pieces,1068,531
curious,1069,531
taught,1070,531
straight,1071,528
determined,1072,528
professor,1073,528
angry,1074,528
former,1075,527
fortune,1076,525
cecilia,1077,525
excellent,1078,525
doors,1079,525
eight,1080,523
neighbour,1081,522
mark,1082,522
everybody,1083,522
summer,1084,522
counsel,1085,522
charles,1086,520
view,1087,520
salvation,1088,519
francisco,1089,519
makes,1090,519
respect,1091,519
pequod,1092,519
middle,1093,519
begin,1094,516
hearing,1095,516
stopped,1096,516
grow,1097,516
english,1098,516
pride,1099,516
knowing,1100,516
london,1101,516
arthur,1102,513
benjamin,1103,513
commandments,1104,513
sail,1105,513
appearance,1106,513
merely,1107,513
directly,1108,510
sorrow,1109,510
burn,1110,510
proper,1111,510
moab,1112,507
situation,1113,507
angels,1114,507
easy,1115,507
justice,1116,507
piece,1117,507
especially,1118,507
desolate,1119,507
names,1120,505
drawing,1121,504
marry,1122,504
terrible,1123,504
depart,1124,504
teach,1125,504
hills,1126,504
ha,1127,504
corner,1128,504
expected,1129,503
affection,1130,501
beneath,1131,501
box,1132,501
promised,1133,501
kindness,1134,501
border,1135,501
chosen,1136,501
possession,1137,501
fit,1138,501
passage,1139,501
worth,1140,499
blind,1141,498
likewise,1142,498
buried,1143,498
parts,1144,495
image,1145,495
quiet,1146,495
hence,1147,495
exclaimed,1148,495
thither,1149,495
camp,1150,495
bit,1151,495
safe,1152,492
shewed,1153,492
feast,1154,492
waves,1155,492
saved,1156,492
thick,1157,492
lands,1158,492
escape,1159,492
appointed,1160,492
suffer,1161,492
tone,1162,489
whence,1163,489
nevertheless,1164,489
declare,1165,489
killed,1166,489
crew,1167,489
ones,1168,489
sisters,1169,486
vpon,1170,486
heathen,1171,486
dust,1172,486
distance,1173,486
brutus,1174,486
shadow,1175,486
ghost,1176,486
seas,1177,486
week,1178,483
piedro,1179,483
shape,1180,483
fool,1181,483
health,1182,483
boats,1183,483
didst,1184,480
clouds,1185,480
hartfield,1186,480
lead,1187,479
manners,1188,477
wings,1189,477
future,1190,476
hearken,1191,474
whatsoever,1192,474
dry,1193,474
broke,1194,474
following,1195,474
removed,1196,472
meeting,1197,471
smiling,1198,471
divine,1199,471
sides,1200,471
assure,1201,471
welcome,1202,471
waiting,1203,471
pale,1204,471
samuel,1205,471
wives,1206,468
blow,1207,468
fond,1208,468
worthy,1209,468
soft,1210,468
quick,1211,468
slowly,1212,465
simple,1213,465
coat,1214,465
pity,1215,465
likely,1216,463
boys,1217,462
forgotten,1218,462
space,1219,462
whither,1220,462
bru,1221,459
understood,1222,459
beloved,1223,459
zion,1224,459
surprise,1225,459
yours,1226,459
captains,1227,459
coast,1228,456
bird,1229,456
letters,1230,456
noble,1231,456
settled,1232,456
forest,1233,453
society,1234,453
race,1235,453
food,1236,453
marriage,1237,453
flowers,1238,453
necessary,1239,452
shore,1240,451
eternal,1241,450
sad,1242,450
walter,1243,450
precious,1244,450
due,1245,449
rule,1246,447
edge,1247,447
probably,1248,447
degree,1249,447
passing,1250,447
bates,1251,447
companions,1252,447
russell,1253,447
brass,1254,447
jeremiah,1255,447
measure,1256,445
lower,1257,445
difference,1258,444
false,1259,444
adam,1260,444
journey,1261,444
lying,1262,444
persons,1263,444
greatest,1264,444
tall,1265,444
board,1266,442
hide,1267,441
possess,1268,441
grown,1269,441
teeth,1270,441
manasseh,1271,441
buy,1272,440
snow,1273,438
verily,1274,438
lies,1275,438
singing,1276,438
observed,1277,438
lift,1278,438
joab,1279,435
danger,1280,435
prayer,1281,435
joined,1282,435
utterly,1283,435
honest,1284,435
england,1285,434
corn,1286,432
brandon,1287,432
music,1288,432
sabbath,1289,432
learn,1290,432
curse,1291,432
leaving,1292,432
public,1293,431
somewhat,1294,430
wrote,1295,430
ocean,1296,430
sharp,1297,430
army,1298,429
companion,1299,429
maid,1300,429
lives,1301,429
selfe,1302,429
middleton,1303,429
hot,1304,429
finished,1305,429
satan,1306,426
spoil,1307,426
engaged,1308,426
burst,1309,426
